Title;Format;Year;Rating
Fullmetal Alchemist: Brotherhood;TV;2009;4.7
your name.;Movie;2016;4.68
A Silent Voice;Movie;2016;4.67
Haikyuu!! Karasuno High School vs Shiratorizawa Academy;TV;2016;4.66
My Hero Academia 3;TV;2018;4.65
Haikyuu!! Second Season;TV;2015;4.64
Mob Psycho 100 II;TV;2019;4.64
Gintama Kanketsu-hen: Yorozuya yo Eien Nare;Movie;2013;4.63
My Hero Academia 2;TV;2017;4.63
Gintama (2015);TV;2015;4.63
"Steins;Gate";TV;2011;4.63
Hunter x Hunter (2011);TV;2011;4.63
Gintama.: Shirogane no Tamashii-hen 2;TV;2018;4.62
Code Geass: Lelouch of the Rebellion R2;TV;2008;4.62
March Comes in like a Lion 2nd Season;TV;2017;4.61
Gintama.;TV;2017;4.61
Mushishi Zoku Shou 2nd Season;TV;2014;4.61
Gintama.: Shirogane no Tamashii-hen;TV;2018;4.6
Gintama';TV;2011;4.6
Gintama': Enchousen;TV;2012;4.6
One-Punch Man;TV;2015;4.6
Clannad After Story;TV;2008;4.6
Natsume Yuujinchou Roku;TV;2017;4.6
Mushishi Zoku Shou;TV;2014;4.59
Made in Abyss;TV;2017;4.59
Wolf Children;Movie;2012;4.59
Spirited Away;Movie;2001;4.58
I Want to Eat Your Pancreas;Movie;2018;4.58
The Promised Neverland;TV;2019;4.58
The Rising of the Shield Hero;TV;2019;4.58
JoJo's Bizarre Adventure: Golden Wind;TV;2018;4.57
That Time I Got Reincarnated as a Slime;TV;2018;4.57
Kizumonogatari Movie 3: Reiketsu;Movie;2017;4.57
Hajime no Ippo: New Challenger;TV;2009;4.57
Natsume Yuujinchou Shi;TV;2012;4.57
Hajime no Ippo: The Fighting!;TV;2000;4.56
Owarimonogatari (2017);TV Special;2017;4.56
Code Geass: Lelouch of the Rebellion;TV;2006;4.56
Natsume Yuujinchou Go;TV;2016;4.56
Haikyuu!!;TV;2014;4.56
Descending Stories: Shouwa Genroku Rakugo Shinjuu;TV;2017;4.56
Monogatari Series: Second Season;TV;2013;4.55
Douluo Dalu 2;Web;2018;4.55
Princess Mononoke;Movie;1997;4.55
The Disappearance of Haruhi Suzumiya;Movie;2010;4.55
Gintama: Porori-hen;TV;2017;4.55
Howl's Moving Castle;Movie;2004;4.55
ERASED;TV;2016;4.55
Mushishi: Hihamukage;TV Special;2014;4.54
The Disastrous Life of Saiki K. 2nd Season;TV;2018;4.54
Kizumonogatari Movie 2: Nekketsu;Movie;2016;4.54
Rurouni Kenshin: Tsuiokuhen;OVA;1999;4.54
Kara no Kyoukai Movie 5: Mujun Rasen;Movie;2008;4.54
Assassination Classroom TV 2nd Season;TV;2016;4.54
Dororo (2019);TV;2019;4.54
Bunny Drop;TV;2011;4.54
Fate/Zero 2;TV;2012;4.54
Hajime no Ippo: Rising;TV;2013;4.54
Your lie in April;TV;2014;4.54
Mushishi Zoku Shou: Suzu no Shizuku;Movie;2015;4.53
Hotarubi no Mori e;Movie;2011;4.53
Kuroko's Basketball 3;TV;2015;4.53
Cowboy Bebop;TV;1998;4.53
Mo Dao Zu Shi;Web;2018;4.53
Great Teacher Onizuka;TV;1999;4.53
Natsume Yuujinchou San;TV;2011;4.53
Mushishi Zoku Shou: Odoro no Michi;TV Special;2014;4.53
Yona of the Dawn: Zeno Arc;OVA;2016;4.52
Food Wars! The Second Plate;TV;2016;4.52
My Hero Academia;TV;2016;4.52
Kamisama Kiss: Kako-hen;OVA;2015;4.52
No Game No Life: Zero;Movie;2017;4.52
Bakuman. 3;TV;2012;4.52
The Boy and the Beast;Movie;2015;4.52
Kuroko's Basketball 2;TV;2013;4.52
Zoku Natsume Yuujinchou;TV;2009;4.52
Legend of the Galactic Heroes;OVA;1988;4.52
Food Wars! The Third Plate;TV;2017;4.51
Quan Zhi Gao Shou (2018);OVA;2018;4.51
Food Wars! The Third Plate: Totsuki Train Arc;TV;2018;4.51
"Steins;Gate Movie: Load Region of Deja Vu";Movie;2013;4.51
Fairy Tail (2018);TV;2018;4.51
Parasyte -the maxim-;TV;2014;4.51
Dragon Ball Super Movie: Broly;Movie;2018;4.51
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2);Movie;2009;4.51
Natsume Yuujinchou Roku Specials;DVD Special;2017;4.5
Attack on Titan 3rd Season;TV;2018;4.5
Death Note;TV;2006;4.5
Major Season 5;TV;2009;4.5
The Seven Deadly Sins: Revival of The Commandments;TV;2018;4.5
Food Wars! Shokugeki no Souma;TV;2015;4.5
JoJo's Bizarre Adventure: Diamond is Unbreakable;TV;2016;4.5
Zoku Owarimonogatari;Movie;2018;4.5
Overlord III;TV;2018;4.5
Mushishi;TV;2005;4.49
Rascal Does Not Dream of Bunny Girl Senpai;TV;2018;4.49
Attack on Titan;TV;2013;4.49
Hellsing Ultimate;OVA;2006;4.49
Gintama: Shinyaku Benizakura-hen;Movie;2010;4.49
Violet Evergarden;TV;2018;4.49
Natsume Yuujinchou Go Specials;DVD Special;2017;4.49
Noragami Aragoto;TV;2015;4.49
Ghost in the Shell: Stand Alone Complex 2nd Gig;TV;2004;4.49
"Steins;Gate: Egoistic Poriomania";DVD Special;2012;4.49
Haikyuu!!: Tokushuu! Harukou Volley ni Kaketa Seishun;OVA;2017;4.49
Barakamon;TV;2014;4.49
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt;TV;2015;4.48
Wu Dong Qian Kun;Web;2019;4.48
No Game No Life;TV;2014;4.48
Chihayafuru 2;TV;2013;4.48
Fate/stay night: Heaven's Feel II. lost butterfly;Movie;2019;4.48
Black Butler: Book of the Atlantic;Movie;2017;4.48
Anohana: The Flower We Saw That Day;TV;2011;4.48
Mob Psycho 100;TV;2016;4.48
Shouwa Genroku Rakugo Shinjuu;TV;2016;4.48
Maquia - When the Promised Flower Blooms;Movie;2018;4.48
Attack on Titan 2nd Season;TV;2017;4.48
Tengen Toppa Gurren Lagann;TV;2007;4.47
"Steins;Gate 0";TV;2018;4.47
Bakuman. 2;TV;2011;4.47
My Hero Academia The Movie: Two Heroes;Movie;2018;4.47
Spice and Wolf II;TV;2009;4.47
The Disastrous Life of Saiki K. 3;TV Special;2018;4.47
Evangelion: 2.0 You Can (Not) Advance;Movie;2009;4.47
One Piece Movie 10: Strong World;Movie;2009;4.46
Hajime no Ippo: Champion Road;Movie;2003;4.46
Gintama: Aizome Kaori-hen;OVA;2016;4.46
Attack on Titan: No Regrets;OVA;2014;4.46
Black Lagoon: The Second Barrage;TV;2006;4.46
Fate/stay night: Unlimited Blade Works 2;TV;2015;4.46
Magi: The Kingdom of Magic;TV;2013;4.46
Kamisama Kiss 2nd Season;TV;2015;4.46
Kuroko's Basketball;TV;2012;4.45
Kids on the Slope;TV;2012;4.45
Toradora!;TV;2008;4.45
The Girl Who Leapt Through Time;Movie;2006;4.45
Fate/stay night: Unlimited Blade Works;TV;2014;4.45
Douluo Dalu;Web;2018;4.45
Natsume Yuujinchou: Itsuka Yuki no Hi ni;OVA;2014;4.45
The Seven Deadly Sins;TV;2014;4.45
Fate/Zero;TV;2011;4.44
Major Season 3;TV;2007;4.44
Nausicaa of the Valley of the Wind;Movie;1984;4.44
Baccano!;TV;2007;4.44
Major Season 2;TV;2005;4.44
The Disastrous Life of Saiki K.;TV;2016;4.44
Minami: Kawaki wo Ameku;Music Video;2019;4.44
Fullmetal Alchemist;TV;2003;4.44
Ouran High School Host Club;TV;2006;4.44
The Ancient Magus' Bride;TV;2017;4.44
Gintama: Yorinuki Gintama-san on Theater 2D;Other;2012;4.44
Monster;TV;2004;4.44
Sword of the Stranger;Movie;2007;4.44
Kingdom 2;TV;2013;4.44
Castlevania Season 2;Web;2018;4.44
Black Butler: Book of Murder;OVA;2014;4.44
Snow White with the Red Hair 2nd Season;TV;2016;4.44
My Neighbor Totoro;Movie;1988;4.44
Summer Wars;Movie;2009;4.44
Doukyuusei;Movie;2016;4.44
Hi Score Girl: Extra Stage;OVA;2019;4.43
Silver Spoon 2nd Season;TV;2014;4.43
Kizumonogatari Movie 1: Tekketsu;Movie;2016;4.43
Kuroko's Basketball: The Greatest Present;DVD Special;2015;4.43
Black Butler: Book of Circus;TV;2014;4.43
Psycho-Pass;TV;2012;4.43
Ping Pong The Animation;TV;2014;4.43
Tengen Toppa Gurren Lagann: Lagann-hen;Movie;2009;4.43
Nodame Cantabile;TV;2007;4.43
Re:ZERO -Starting Life in Another World-;TV;2016;4.43
Major Season 6;TV;2010;4.43
Grave of the Fireflies;Movie;1988;4.43
A place further than the Universe;TV;2018;4.43
Star Blazers: Space Battleship Yamato 2199;TV;2012;4.43
ReLIFE: Kanketsu-hen;OVA;2018;4.43
Samurai Champloo;TV;2004;4.43
The Ancient Magus' Bride: Those Awaiting a Star;OVA;2016;4.43
Major Season 4;TV;2008;4.43
Ace of the Diamond: Second Season;TV;2015;4.43
Kamisama Kiss: Kamisama, Shiawase ni Naru;OVA;2016;4.42
Eve no Jikan Movie;Movie;2010;4.42
Rainbow: Nisha Rokubou no Shichinin;TV;2010;4.42
Yuri!!! on Ice;TV;2016;4.42
Kuroko's Basketball: Last Game;Movie;2017;4.42
When They Cry: Kai;TV;2007;4.42
Major Season 1;TV;2004;4.42
Puella Magi Madoka Magica;TV;2011;4.42
Nodame Cantabile: Finale;TV;2010;4.42
Hunter x Hunter OVA 3: Greed Island Final;OVA;2004;4.42
Code Geass: Fukkatsu no Lelouch;Movie;2019;4.42
One Piece Film: Z;Movie;2012;4.42
K-On! Movie;Movie;2011;4.42
Fate/stay night: Heaven's Feel I. presage flower;Movie;2017;4.42
Cowboy Bebop: The Movie;Movie;2001;4.41
Owarimonogatari;TV;2015;4.41
Haikyuu!! Movie 3: Talent and Sense;Movie;2017;4.41
Major: World Series;OVA;2011;4.41
Tong Ling Fei;Web;2018;4.41
Cross Game;TV;2009;4.41
Shelter;Music Video;2016;4.41
Eve no Jikan;Web;2008;4.41
Omae Umasou da na Movie;Movie;2010;4.41
Detective Conan: Episode One - The Great Detective Turned Small;TV Special;2016;4.41
KonoSuba – God's blessing on this wonderful world!! 2;TV;2017;4.41
Katanagatari;TV;2010;4.41
Detective Conan Movie 20: The Darkest Nightmare;Movie;2016;4.41
Fairy Tail 2;TV;2014;4.41
Mobile Suit Gundam: The Origin;OVA;2015;4.41
Yona of the Dawn;TV;2014;4.41
Liz and the Blue Bird;Movie;2018;4.41
Angel Beats!;TV;2010;4.41
One Outs;TV;2008;4.41
Berserk: Golden Age Arc III - The Advent;Movie;2013;4.41
Bungou Stray Dogs 2nd Season;TV;2016;4.41
Puella Magi Madoka Magica the Movie Part 2: Eternal;Movie;2012;4.41
Gintama: Shinyaku Benizakura-hen Special;DVD Special;2010;4.4
Golden Kamuy 2nd Season;TV;2018;4.4
Ling Jian Zun;Web;2019;4.4
The Tatami Galaxy;TV;2010;4.4
Yaoshenji 3rd Season;Web;2018;4.4
Skip Beat!;TV;2008;4.4
Violet Evergarden Special;DVD Special;2018;4.4
xxxHOLiC Kei;TV;2008;4.4
Code Geass: Lelouch of the Rebellion Movie 3;Movie;2018;4.4
Maid-sama!;TV;2010;4.4
Girls und Panzer der Film;Movie;2015;4.4
Kaguya-sama: Love Is War;TV;2019;4.4
Tsubasa Chronicle: Tokyo Revelations;OVA;2007;4.4
One Piece;TV;1999;4.4
Durarara!!;TV;2010;4.4
In This Corner of the World;Movie;2016;4.4
Baccano! Specials;DVD Special;2008;4.39
xxxHOLiC Rou;OVA;2010;4.39
History's Strongest Disciple Kenichi;TV;2006;4.39
Hinamatsuri;TV;2018;4.39
JoJo's Bizarre Adventure (2012);TV;2012;4.39
Space Brothers;TV;2012;4.39
Hunter x Hunter OVA;OVA;2002;4.39
Natsume Yuujinchou;TV;2008;4.39
Death Parade;TV;2015;4.39
Hunter x Hunter OVA 2: Greed Island;OVA;2003;4.39
Hajime no Ippo: Mashiba vs Kimura;OVA;2003;4.39
Mobile Suit Gundam: Iron-Blooded Orphans 2;TV;2016;4.39
Youjo Senki: Saga of Tanya the Evil;TV;2017;4.39
Ghost in the Shell: Stand Alone Complex;TV;2002;4.39
Patema Inverted;Movie;2013;4.39
Detective Conan Movie 14: The Lost Ship in the Sky;Movie;2010;4.39
Gintama: Jump Festa 2008;Other;2008;4.39
When Marnie Was There;Movie;2014;4.39
Thunderbolt Fantasy: Sword Seekers 2;TV;2018;4.39
Mobile Suit Gundam 00 Second Season;TV;2008;4.39
Nodame Cantabile: Paris;TV;2008;4.39
The House of Small Cubes;Movie;2008;4.38
Hua Jianghu Zhi Huan Shi Men Sheng;TV;2017;4.38
Puella Magi Madoka Magica the Movie Part 3: Rebellion;Movie;2013;4.38
Haikyuu!! Movie 4: Battle of Concepts;Movie;2017;4.38
Trigun;TV;1998;4.38
Log Horizon;TV;2013;4.38
Overlord;TV;2015;4.38
Fate/stay night: Unlimited Blade Works Prologue;Other;2014;4.38
Redline;Movie;2009;4.38
Baby Steps 2;TV;2015;4.38
Non Non Biyori: Vacation;Movie;2018;4.38
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu;Movie;2008;4.38
Initial D Final Stage;TV;2014;4.38
Tokyo Godfathers;Movie;2003;4.38
Initial D Fourth Stage;TV;2004;4.38
Magi: Adventure of Sinbad;TV;2016;4.38
Full Metal Panic? Fumoffu;TV;2003;4.38
Aria the Origination;TV;2008;4.38
Spice and Wolf;TV;2008;4.38
Sekai-ichi Hatsukoi: World's Greatest First Love 2;TV;2011;4.37
Black Lagoon;TV;2006;4.37
Trigun: Badlands Rumble;Movie;2010;4.37
Quan Zhi Gao Shou;TV;2017;4.37
Lupin III: Part V;TV;2018;4.37
Gintama: Jump Festa 2014;Other;2014;4.37
Detective Conan Movie 6: The Phantom of Baker Street;Movie;2002;4.37
Wotakoi: Love is Hard for Otaku;TV;2018;4.37
Black Lagoon: Roberta's Blood Trail;OVA;2010;4.37
Beyond the Boundary Movie: I'll Be Here - Future;Movie;2015;4.37
Hozuki's Coolheadedness 2nd Season: Part II;TV;2018;4.37
March Comes in like a Lion;TV;2016;4.37
Working!!! Lord of the Takanashi;TV Special;2015;4.37
Junjou Romantica 2;TV;2008;4.37
ReLIFE;Web;2016;4.37
Welcome to the NHK!;TV;2006;4.37
Yowamushi Pedal: Grande Road;TV;2014;4.37
Durarara!! X2;TV;2015;4.37
Magical Girl Lyrical Nanoha: The Movie 2nd A's;Movie;2012;4.36
Whisper of the Heart;Movie;1995;4.36
Land of the Lustrous;TV;2017;4.36
Beck;TV;2004;4.36
A Certain Scientific Railgun S;TV;2013;4.36
Gintama;TV;2006;4.36
Ghost in the Shell: Stand Alone Complex - Solid State Society;Movie;2006;4.36
Made in Abyss: Hourou Suru Tasogare;Movie;2019;4.36
Natsume Yuujinchou Movie;Movie;2018;4.36
Overlord II;TV;2018;4.36
GATE (2016);TV;2016;4.36
Laputa: Castle in the Sky;Movie;1986;4.36
Nisemonogatari;TV;2012;4.36
Isekai no Seikishi Monogatari;OVA;2009;4.36
Miss Kobayashi's Dragon Maid;TV;2017;4.36
Hunter x Hunter;TV;1999;4.36
Blue Spring Ride: Page.13;OVA;2014;4.36
JoJo's Bizarre Adventure: Stardust Crusaders;TV;2014;4.36
Berserk: Golden Age Arc II - The Battle for Doldrey;Movie;2012;4.36
Darker than Black;TV;2007;4.36
Nichijou;TV;2011;4.36
Full Metal Panic! The Second Raid;TV;2005;4.36
Kamisama Kiss;TV;2012;4.35
Detective Conan Movie 13: The Raven Chaser;Movie;2009;4.35
Kino's Journey;TV;2003;4.35
Clannad;TV;2007;4.35
Noragami;TV;2014;4.35
Welcome to the Ballroom;TV;2017;4.35
Durarara!! X2 The Third Arc;TV;2016;4.35
Ghost in the Shell: Stand Alone Complex - The Laughing Man;Movie;2005;4.35
Jormungand: Perfect Order;TV;2012;4.35
